contract_reference,status,start_date,end_date,next_contract_payment_due_date,cumulative_amount_paid,expected_cumulative_amount_paid,nominal_contract_value,deposit_amount,birthdate,gender,l3_entity_id,name,expected_payment_progression
abc0150,Completed,2022-06-03T13:47:54.850747,2022-06-03T13:47:54.850747,2022-06-03T13:47:54.850747,0.00,0.00,0.00,0.00,1950-01-01,1,5084,Cash Sales,1.0
abc0151,Completed,2022-06-08T08:44:12.937617,2022-07-06T06:20:42.973312,2022-12-05T08:40:39.15764,3491.86,2471.12,3491.86,1000.00,1942-10-17,1,5121,Individual Loan IPP,0.7076801475431432
abc0152,Active,2022-05-24T07:35:32.366877,,2022-10-11T02:27:36.895179,1200.00,1134.24,1391.86,600.00,1983-11-01,0,5073,Individual loan,0.8149095455002658
abc0153,Active,2022-08-02T09:34:55.71773,,2022-08-16T09:34:55.71773,1200.00,1840.59,3731.86,1200.00,1988-09-22T09:00:00,0,5073,Individual loan,0.4932098203040843
abc0154,Active,2022-08-03T06:47:16.262002,,2022-08-17T06:47:16.262002,4000.00,6639.40,14431.86,4000.00,1989-06-24T09:00:00,1,5087,Individual loan,0.4600515803229798
abc0155,Active,2022-08-03T10:55:31.019848,,2022-10-03T09:29:49.024877,1800.00,1736.85,3321.86,1200.00,1956-01-01T09:00:00,0,5083,Individual loan,0.5228546657595443
abc0156,Active,2022-08-23T13:59:01.507002,,2022-09-06T13:59:01.507002,1500.00,1876.46,3731.86,1500.00,1976-01-01,0,5121,Individual Loan IPP,0.5028216492580108
abc0157,Completed,2022-07-26T13:20:31.14463,2022-07-26T13:20:31.14463,2022-07-26T13:20:31.14463,0.00,0.00,0.00,0.00,1990-07-03T09:00:00,0,5087,Cash Sales,1.0
abc0158,Active,2022-09-07T09:07:11.569957,,2022-10-05T19:46:46.808544,1900.00,1887.70,6096.86,1500.00,1973-01-01T09:00:00,0,5087,Individual loan,0.3096183937305433
abc0159,Active,2022-07-27T10:44:57.206625,,2022-08-28T23:47:55.688199,2600.00,4407.80,9716.86,1705.00,1993-01-01T09:00:00,0,5083,Individual loan,0.4536239073116212
abc0160,Active,2022-08-05T11:08:44.592525,,2022-08-19T11:08:44.592525,1500.00,2155.77,4091.86,1500.00,1988-01-25T09:00:00,1,5087,Individual loan,0.5268435381464665
abc0161,Completed,2022-07-26T10:16:24.221318,2022-09-12T06:25:31.444071,2023-01-22T10:17:03.747371,4091.86,2374.36,4091.86,1500.00,1987-07-11,1,5078,Individual loan,0.5802642319140928
abc0162,Active,2022-05-31T10:06:53.940001,,2022-06-15T00:48:42.504035,1450.00,5815.52,7931.86,1426.00,1987-09-25,0,5081,Individual loan,0.7331849024062452
abc0163,Active,2022-09-07T07:21:30.49222,,2022-10-09T13:28:02.321959,3000.00,2851.07,8171.86,2361.00,1962-06-01T09:00:00,0,5087,Individual loan,0.3488887474822134
abc0164,Completed,2022-06-08T13:04:38.117657,2022-06-08T13:04:38.117657,2022-06-08T13:04:38.117657,0.00,0.00,0.00,0.00,1956-01-01,0,5081,Cash Sales,1.0
abc0165,Active,2022-09-09T12:56:04.553699,,2022-09-23T12:56:04.553699,800.00,800.00,2051.86,800.00,1988-12-25T09:00:00,1,5087,Individual loan,0.38989014845067405
abc0166,Active,2022-05-24T10:10:51.127724,,2022-06-07T12:58:29.334942,1302.00,3224.16,4151.86,1300.00,1994-06-03,1,5074,Individual loan,0.776557976425024
abc0167,Active,2022-08-06T08:01:25.158799,,2022-08-20T08:01:25.158799,2000.00,3470.48,7811.86,2000.00,1975-01-01T09:00:00,0,5087,Individual loan,0.44425783360172866
abc0168,Completed,2022-06-06T05:45:21.142513,2022-06-06T05:45:21.142513,2022-06-06T05:45:21.142513,0.00,0.00,0.00,0.00,1968-05-11,1,5083,Cash Sales,1.0
abc0169,Active,2022-08-06T07:51:27.521189,,2022-10-18T01:30:25.309622,8500.00,7502.75,14891.86,5000.00,1962-12-15T09:00:00,1,5076,Individual loan,0.5038155072636997
abc0170,Active,2022-09-10T06:04:40.594095,,2022-09-25T00:56:33.681513,610.00,600.00,2711.86,600.00,1971-05-15T09:00:00,0,5078,Individual loan,0.22125035953183425
abc0171,Active,2022-09-10T09:22:08.883996,,2022-10-22T08:02:48.490065,800.00,500.00,2281.86,500.00,1970-01-01T09:00:00,1,5084,Individual loan,0.2191194902404179
abc0172,Active,2022-07-25T12:36:29.037633,,2022-09-03T18:01:40.150826,1600.00,2054.12,3731.86,1200.00,1985-01-01T09:00:00,0,5084,Individual loan,0.5504279367393203
abc0173,Completed,2022-07-26T11:28:28.937839,2022-07-26T11:28:28.937839,2022-07-26T11:28:28.937839,0.00,0.00,0.00,0.00,1966-01-01T09:00:00,1,5072,Cash Sales,1.0
abc0174,Active,2022-07-27T07:24:53.603571,,2022-09-23T20:18:08.273792,691.00,740.16,1211.86,500.00,1997-07-23T09:00:00,1,5121,Individual Loan IHD,0.6107636195600152
abc0175,Active,2022-09-19T04:56:21.42995,,2022-10-03T05:12:25.070369,831.25,831.00,4551.86,831.00,1970-01-01T09:00:00,1,5084,Individual loan,0.182562732597224
abc0176,Active,2022-07-27T10:46:42.141004,,2023-01-20T23:12:34.66326,10793.50,5669.04,10911.86,3000.00,1987-12-09T09:00:00,1,5087,Individual loan,0.5195301259363665
abc0177,Active,2022-07-25T08:24:36.159611,,2022-08-14T17:35:23.618011,2191.00,2968.40,4691.86,2091.00,1970-01-01T09:00:00,1,5083,Individual loan,0.6326701990255463
abc0178,Active,2022-09-02T12:08:49.825346,,2022-09-19T05:18:04.799168,3000.00,3332.56,7811.86,2920.00,1970-01-01T09:00:00,1,5087,Individual loan,0.42660262728722737
abc0179,Active,2022-09-03T08:37:16.147798,,2022-09-17T08:37:16.147798,2500.00,2937.87,7691.86,2500.00,1970-01-01T09:00:00,1,5083,Individual loan,0.3819453292181605
abc0180,Active,2022-08-29T11:21:18.306874,,2022-09-17T14:51:09.772306,3000.00,3344.14,9251.86,2800.00,1989-12-01T09:00:00,1,5121,Individual Loan IHD,0.361455966692103
abc0181,Completed,2022-09-16T12:16:22.866026,2022-09-16T12:16:22.866026,2022-09-16T12:16:22.866026,0.00,0.00,0.00,0.00,1972-01-01,0,5087,Cash Sales,1.0
abc0182,Active,2022-06-21T06:38:26.887569,,2022-07-05T06:38:26.887569,1500.00,4268.88,6971.86,1500.00,1996-08-09,0,5084,Individual loan,0.6123014518363823
abc0183,Active,2022-09-14T07:51:45.360138,,2022-09-28T07:51:45.360138,3000.00,3000.00,8171.86,3000.00,1970-01-01T09:00:00,1,5087,Individual loan,0.3671134845677728
abc0184,Active,2022-08-02T12:54:11.74384,,2022-09-27T13:21:11.408761,6757.00,6755.77,14891.86,4000.00,1990-11-05T09:00:00,0,5084,Individual loan,0.45365521835418815
abc0185,Completed,2022-03-02T19:04:51.014569,2022-05-05T06:57:44.168694,2022-07-06T19:03:44.082298,14108.00,14108.00,14108.00,2542.00,1960-07-23,1,5121,Individual Loan IPP,1.0
abc0186,Active,2022-08-26T08:44:06.253922,,2022-09-09T08:44:06.253922,1000.00,1074.38,1881.86,1000.00,2000-06-05,0,5121,Individual Loan IHD,0.5709138830731297
abc0187,Completed,2022-07-25T07:42:20.457959,2022-07-25T07:42:20.457959,2022-07-25T07:42:20.457959,0.00,0.00,0.00,0.00,1977-01-11T09:00:00,1,5087,Cash Sales,1.0
abc0188,Active,2022-07-26T10:25:43.247656,,2022-08-09T10:25:43.247656,1500.00,2684.76,5011.86,1500.00,1978-01-01T09:00:00,0,5073,Individual loan,0.5356813638050544
abc0189,Active,2022-07-26T11:06:45.715116,,2022-09-05T07:22:59.852254,1500.00,2043.04,4091.86,1000.00,1978-01-24,0,5121,Individual Loan IHD,0.49929371972648134
abc0190,Active,2022-09-12T08:52:39.234736,,2022-09-26T08:52:39.234736,3000.00,3000.00,7811.86,3000.00,1991-08-08T09:00:00,1,5083,Individual loan,0.3840314598571915
abc0191,Completed,2022-01-12T13:14:07.157989,2022-08-31T16:07:06.091601,2022-11-11T13:16:46.247969,11175.88,9884.04,11175.88,1086.00,1974-12-09,1,5072,Group Loan 30th Jan_22,0.8844082076758162
abc0192,Active,2022-07-27T08:06:23.227527,,2022-10-06T08:17:45.758677,2000.00,1982.32,3911.86,1000.00,1973-01-01T09:00:00,1,5078,Individual loan,0.5067461514471376
abc0193,Active,2022-07-25T09:56:53.349249,,2022-08-08T09:56:53.349249,1200.00,2175.60,4091.86,1200.00,1970-01-01T09:00:00,0,5083,Individual loan,0.5316897450059386
abc0194,Active,2022-07-25T06:36:26.82616,,2022-09-29T17:16:51.083898,7058.00,7299.20,14761.86,3500.00,1970-01-01T09:00:00,1,5078,Individual loan,0.4944634348246088
abc0195,Active,2022-07-25T06:58:49.860486,,2022-10-02T18:34:12.366728,2100.00,2109.32,4091.86,1100.00,1970-01-01T09:00:00,0,5083,Individual loan,0.51549173236621
abc0196,Active,2022-07-27T09:40:02.604476,,2022-11-24T02:22:51.072308,8480.00,5668.32,11891.86,2500.00,1978-03-29T09:00:00,1,5087,Individual loan,0.47665546012146126
abc0197,Active,2022-07-25T04:38:53.154867,,2022-09-25T06:21:43.877082,1600.00,1698.96,3071.86,1000.00,1971-01-01T09:00:00,0,5074,Individual loan,0.5530720801078174
abc0198,Active,2022-08-02T12:25:48.497289,,2022-08-16T12:25:48.497289,1000.00,1782.28,4091.86,1000.00,1995-10-09T09:00:00,1,5083,Individual loan,0.43556719926879217
abc0199,Completed,2022-07-25T08:14:03.33142,2022-07-25T08:14:03.33142,2022-07-25T08:14:03.33142,0.00,0.00,0.00,0.00,2002-05-01T09:00:00,1,5072,Cash Sales,1.0
abc0200,Active,2022-06-08T10:04:13.591477,,2022-07-26T16:01:33.64622,3001.00,4864.33,6851.86,2000.00,1982-09-08,0,5084,Individual loan,0.709928399004066
abc0201,Completed,2022-08-25T08:44:16.915854,2022-09-20T08:36:36.063558,2023-02-21T08:41:24.335502,3811.86,1640.56,3811.86,1200.00,1970-01-01T09:00:00,1,5083,Individual loan,0.43038306758380424
abc0202,Active,2022-07-26T11:17:44.710927,,2022-09-07T05:59:22.828195,3070.00,4082.08,8171.86,2000.00,1975-10-05T09:00:00,0,5087,Individual loan,0.49952887102813803
abc0203,Completed,2022-03-17T10:58:55.56351,2022-03-23T09:53:48.960655,2023-01-14T10:01:19.56351,20.64,13.00,20.64,0.00,1984-12-25,1,5121,Group Loan 30th Jan_22,0.6298449612403101
abc0204,Active,2022-05-18T08:27:41.133404,,2022-07-02T08:23:18.785226,4750.00,10113.60,12371.86,3000.00,1959-02-15,0,5073,Individual loan,0.8174680282512088
abc0205,Active,2022-07-25T08:40:59.72277,,2022-08-10T01:26:12.156212,4016.00,7213.88,13691.86,3916.00,1996-04-09T09:00:00,1,5083,Individual loan,0.5268736314861531
abc0206,Completed,2022-09-22T08:29:53.208525,2022-09-22T08:29:53.208525,2023-03-21T11:54:11.332095,2051.86,2000.00,2051.86,2000.00,1992-04-03T09:00:00,1,5081,Individual loan,0.974725371126685
abc0207,Completed,2022-01-13T10:05:50.119261,2022-07-21T09:26:48.561005,2022-11-12T10:09:42.32058,13110.88,11596.36,13110.88,1282.00,1973-10-06,1,5072,Group Loan 30th Jan_22,0.8844837264928059
abc0208,Completed,2022-09-22T07:18:23.435841,2022-09-22T07:18:23.435841,2022-09-22T07:18:23.435841,0.00,0.00,0.00,0.00,1970-01-01T09:00:00,0,5084,Cash Sales,1.0
abc0209,Active,2022-06-06T10:46:14.03034,,2022-06-20T10:46:14.03034,700.00,1303.26,1721.86,700.00,1975-01-01,1,5083,Individual loan,0.7568908041304171
abc0210,Active,2022-06-06T11:52:50.087499,,2022-11-06T02:34:09.611202,10500.00,8302.57,11981.86,3000.00,1977-06-05,0,5084,Individual loan,0.6929283099618924
abc0211,Active,2022-06-06T06:10:27.175141,,2022-07-07T10:37:16.602502,1700.00,2640.51,3431.86,1500.00,1966-06-02,1,5081,Individual loan,0.7694107568490556
abc0212,Active,2022-06-06T08:54:44.514111,,2022-06-20T08:54:44.514111,500.00,1221.35,1721.86,500.00,1989-01-12,0,5078,Individual loan,0.7093201537871836
abc0213,Completed,2022-03-25T09:58:04.339578,2022-03-25T09:58:04.339578,2022-03-25T09:58:04.339578,0.00,0.00,0.00,0.00,1984-12-25,1,5121,Cash Sales IPP,1.0
abc0214,Active,2022-07-25T09:16:13.377345,,2022-09-03T16:50:08.814681,2201.00,2991.76,5921.86,1500.00,1995-02-20T09:00:00,1,5083,Individual loan,0.5052061345590744
abc0215,Active,2022-01-27T09:21:29.439551,,2022-03-09T09:40:23.924692,4000.00,10588.00,10588.00,1906.00,1978-08-11,1,5121,Individual Loan IPP,1.0
abc0216,Completed,2022-01-26T08:29:28.815571,2022-05-18T17:59:38.382732,2022-06-01T08:29:28.815571,1483.00,1483.00,1483.00,265.00,1968-01-01,1,5121,Individual Loan IPP,1.0
abc0217,Active,2022-01-26T08:21:16.434092,,2022-05-10T18:40:42.557692,9000.00,10688.00,10688.00,1923.00,1978-12-16,0,5121,Individual Loan IPP,1.0
abc0218,Completed,2022-01-28T09:34:54.289998,2022-06-02T17:57:53.179233,2022-11-27T09:24:50.769461,13135.64,10477.24,13135.64,1315.00,1968-02-08,1,5121,Group Loan 30th Jan_22,0.7976193013815848
abc0219,Active,2022-03-08T12:30:21.589209,,2022-09-01T23:53:47.69325,1130.00,1318.02,1855.64,185.00,1991-01-01,1,5121,Group Loan 30th Jan_22,0.7102778556185467
abc0220,Completed,2022-02-23T09:22:38.32525,2022-04-23T18:21:27.837933,2022-06-29T09:21:33.282501,7258.00,7258.00,7258.00,1307.00,1977-01-01,0,5121,Individual Loan IPP,1.0
abc0221,Active,2022-03-04T10:44:15.960586,,2022-04-28T20:03:10.207162,3612.00,7478.00,7478.00,1346.00,1990-06-04,0,5121,Individual Loan IPP,1.0
abc0222,Active,2022-02-09T07:13:16.966133,,2022-09-07T02:28:53.969402,10610.00,11546.64,13705.64,4106.00,1944-01-01,1,5121,Group Loan 30th Jan_22,0.8424736094045955
abc0223,Active,2022-01-24T07:42:23.50416,,2022-05-08T02:43:10.98895,8950.00,10688.00,10688.00,1923.00,1994-01-17,1,5121,Individual Loan IPP,1.0
abc0224,Active,2022-08-22T08:12:17.922961,,2022-11-03T06:01:19.863856,6010.00,4430.68,11481.86,3000.00,1984-08-04T09:00:00,0,5121,Individual Loan IHD,0.38588521371972834
abc0225,Active,2022-02-05T07:31:50.332803,,2022-08-24T00:05:05.092022,7495.00,8705.96,10760.64,1625.00,1959-07-01,1,5121,Group Loan 30th Jan_22,0.809055966931335
abc0226,Completed,2022-03-07T13:09:19.852264,2022-06-24T06:43:39.433841,2022-07-11T13:10:11.85738,9078.00,9078.00,9078.00,1635.00,1974-01-20,0,5121,Individual Loan IPP,1.0
abc0227,Active,2022-03-11T09:35:55.937488,,2022-07-04T23:31:39.420072,11780.00,12753.00,12753.00,2293.70,1974-04-24,0,5121,Individual Loan IPP,1.0
abc0228,Completed,2022-03-02T09:58:14.367561,2022-08-25T11:05:44.03568,2022-07-06T09:58:14.367562,10168.00,10168.00,10168.00,1830.00,1960-01-01,1,5121,Individual Loan IPP,1.0
abc0229,Active,2022-02-03T09:58:56.685492,,2022-06-27T08:29:01.313876,1890.00,2987.44,3745.64,374.00,1985-07-02,1,5121,Group Loan 30th Jan_22,0.7975779840027338
abc0230,Completed,2022-02-09T08:50:50.542207,2022-09-03T18:09:17.092465,2022-12-09T08:40:47.021669,13135.64,10477.24,13135.64,1315.00,1967-08-26,1,5121,Group Loan 30th Jan_22,0.7976193013815848
abc0231,Active,2022-02-28T11:00:24.557041,,2022-07-02T18:06:48.454857,6970.00,7058.00,7058.00,1271.00,1968-01-01,1,5121,Individual Loan IPP,1.0
abc0232,Active,2022-03-08T12:15:49.356875,,2022-11-02T18:13:10.387757,7017.00,6219.34,8755.64,874.00,1983-01-01,1,5121,Group Loan 30th Jan_22,0.7103238598206413
abc0233,Completed,2022-03-05T09:22:17.111855,2022-04-28T10:47:08.310962,2022-07-09T09:22:17.111855,4328.00,4328.00,4328.00,778.00,1957-04-09,1,5121,Individual Loan IPP,1.0
abc0234,Defaulted,2022-02-22T08:18:27.005349,2022-09-22T06:43:50.400664,2022-07-26T05:52:28.134965,2595.00,3286.50,4065.64,1215.00,1953-12-25,1,5121,Group Loan 30th Jan_22,0.8083598154288132
abc0235,Completed,2022-02-23T06:34:10.690753,2022-06-27T16:27:16.617774,2022-06-29T06:33:03.804745,7058.00,7058.00,7058.00,1271.00,1968-06-10,0,5121,Individual Loan IPP,1.0
abc0236,Completed,2022-03-03T10:09:26.204407,2022-03-03T10:09:26.204407,2022-03-03T10:09:26.204407,0.00,0.00,0.00,0.00,1958-02-28,1,5121,Cash Sales IPP,1.0
abc0237,Active,2022-03-01T10:10:26.008838,,2022-05-31T15:56:17.392621,5262.00,7058.00,7058.00,1271.00,1968-12-23,0,5121,Individual Loan IPP,1.0
abc0238,Active,2022-04-09T07:52:56.779015,,2022-05-28T12:55:46.190606,4483.00,10148.00,10148.00,1824.00,1962-01-12,0,5121,Individual Loan IPP,1.0
abc0239,Completed,2022-01-27T13:03:53.832256,2022-01-27T13:03:53.832256,2022-01-27T13:03:53.832256,0.00,0.00,0.00,0.00,1960-11-21,1,5121,Cash Sales IPP,1.0
abc0240,Completed,2022-01-27T07:45:50.446466,2022-01-27T07:45:50.446466,2022-01-27T07:45:50.446466,0.00,0.00,0.00,0.00,1959-10-21,1,5121,Cash Sales IPP,1.0
abc0241,Completed,2022-09-16T11:35:03.100342,2022-09-16T11:35:03.100342,2022-09-16T11:35:03.100342,0.00,0.00,0.00,0.00,1976-12-06T09:00:00,0,5078,Cash Sales,1.0
abc0242,Active,2022-03-17T07:14:37.724055,,2022-10-01T08:13:48.408986,10986.00,10926.40,14050.64,5612.00,,1,5121,Group Loan 30th Jan_22,0.7776442923596363
abc0243,Active,2022-02-03T09:39:10.314423,,2022-07-07T05:53:51.454406,7035.00,10477.24,13135.64,1315.00,1978-01-20,1,5121,Group Loan 30th Jan_22,0.7976193013815848
abc0244,Completed,2022-03-10T08:21:04.364363,2022-08-22T11:58:20.282327,2022-07-14T08:21:31.572065,8673.00,8673.00,8673.00,1559.70,1992-01-27,0,5121,Individual Loan IPP,1.0
abc0245,Active,2022-04-07T13:03:37.257257,,2022-04-21T13:03:37.257257,1570.00,2950.96,3945.64,1570.00,1960-01-01,1,5121,Group Loan 30th Jan_22,0.7479040155716183
abc0246,Completed,2022-03-12T09:15:37.396095,2022-07-05T05:49:03.887116,2022-07-16T09:11:30.8597,3828.00,3828.00,3828.00,688.00,1987-11-07,0,5121,Individual Loan IPP,1.0
abc0247,Active,2022-03-28T08:43:44.560415,,2022-04-11T16:56:57.220965,580.00,3188.00,3188.00,572.00,1989-05-22,1,5121,Individual Loan IPP,1.0
abc0248,Completed,2022-04-23T08:25:51.699823,2022-04-23T08:25:51.699823,2023-02-20T07:28:15.699823,20.64,10.00,20.64,0.00,1985-02-11,1,5121,Group Loan 30th Jan_22,0.4844961240310077
abc0249,Completed,2022-01-26T07:46:41.335732,2022-09-20T14:09:05.570131,2022-06-01T07:46:41.335734,10168.00,10168.00,10168.00,1830.00,1995-05-08,0,5121,Individual Loan IPP,1.0
abc0250,Completed,2022-01-26T12:34:34.245311,2022-05-13T10:07:48.793982,2022-06-01T12:34:34.24531,6878.00,6878.00,6878.00,1238.00,1932-01-01,0,5121,Individual Loan IPP,1.0
abc0251,Active,2022-03-21T08:57:28.190299,,2022-06-04T20:51:49.524655,4486.00,7118.00,7118.00,1281.00,1968-07-12,1,5121,Individual Loan IPP,1.0
abc0252,Active,2022-04-25T10:25:50.917653,,2022-06-20T20:36:45.463108,6000.00,9555.80,14985.64,4454.00,1969-01-01,1,5121,Group Loan 30th Jan_22,0.6376637901350893
abc0253,Completed,2022-03-21T07:38:49.709006,2022-07-09T20:46:59.271827,2022-07-25T07:39:24.020981,13758.00,13758.00,13758.00,2477.00,1961-05-12,1,5121,Individual Loan IPP,1.0
abc0254,Active,2022-03-17T12:33:24.215778,,2022-05-19T04:36:39.749099,6740.00,10471.27,13465.64,5378.00,1956-01-01,0,5121,Group Loan 30th Jan_22,0.7776288390303023
abc0255,Active,2022-03-09T06:49:37.942672,,2022-05-19T01:50:06.559128,4809.00,9933.38,13295.64,2700.00,1971-04-17,0,5121,Group Loan 30th Jan_22,0.7471155957892963
abc0256,Active,2022-02-24T08:54:37.517774,,2022-10-26T22:15:48.168348,6013.00,5663.85,7005.64,2097.00,1990-06-26,1,5121,Group Loan 30th Jan_22,0.808470032716497
abc0257,Completed,2022-02-07T11:45:13.535433,2022-09-04T12:20:43.618691,2022-06-13T11:45:13.535431,6878.00,6878.00,6878.00,1238.00,1994-03-19,1,5121,Individual Loan IPP,1.0
abc0258,Active,2022-02-01T13:51:04.062212,,2022-03-02T11:29:23.894325,1000.00,5448.12,6830.64,683.00,1989-10-22,0,5121,Group Loan 30th Jan_22,0.7976002248691192
abc0259,Active,2022-02-11T07:43:15.123333,,2022-09-12T16:15:34.801223,3950.00,4131.75,5480.64,546.00,1961-01-01,0,5121,Group Loan 30th Jan_22,0.7538809336135925
abc0260,Active,2022-03-17T12:53:21.436539,,2022-08-19T12:18:09.380678,9070.00,10310.21,13530.64,4738.00,1936-01-01,1,5121,Group Loan 30th Jan_22,0.7619898245759255
abc0261,Completed,2022-03-05T09:28:33.73695,2022-07-01T05:18:18.062895,2022-07-09T09:26:18.82353,6998.00,6998.00,6998.00,1260.00,1955-01-23,1,5121,Individual Loan IPP,1.0
abc0262,Completed,2022-03-03T05:28:44.918817,2022-07-10T16:57:15.073423,2022-07-07T05:27:38.032809,7058.00,7058.00,7058.00,1271.00,1978-02-16,1,5121,Individual Loan IPP,1.0
abc0263,Active,2022-03-03T05:16:59.786622,,2022-05-23T16:56:47.47774,4758.00,7058.00,7058.00,1271.00,1987-04-18,1,5121,Individual Loan IPP,1.0
abc0264,Active,2022-02-04T10:15:21.419208,,2022-03-20T08:15:31.429138,2500.00,10317.72,12935.64,1295.00,1937-01-01,0,5121,Group Loan 30th Jan_22,0.7976195998033341
abc0265,Active,2022-03-15T06:53:01.219203,,2022-06-14T05:01:56.847729,5290.00,7118.00,7118.00,1281.00,1992-11-14,0,5121,Individual Loan IPP,1.0
abc0266,Active,2022-03-31T07:04:37.477308,,2022-04-28T23:44:46.333397,2140.00,4758.51,4758.51,1884.00,1942-01-29,0,5121,Group Loan  IPP,1.0
abc0267,Completed,2022-03-02T05:59:36.065829,2022-06-12T06:56:15.001562,2022-07-06T06:01:32.41638,2948.00,2948.00,2948.00,529.00,1977-10-01,1,5121,Individual Loan IPP,1.0
abc0268,Completed,2022-02-09T09:25:08.98364,2022-09-02T09:31:03.139317,2022-12-09T09:19:18.356183,7345.64,5858.44,7345.64,733.00,1974-07-27,1,5121,Group Loan 30th Jan_22,0.7975397650851389
abc0269,Completed,2022-01-28T11:08:34.124702,2022-08-23T11:24:52.148496,2022-11-27T10:54:00.3725,7030.64,5607.64,7030.64,703.00,1956-06-16,1,5121,Group Loan 30th Jan_22,0.797600218472287
abc0270,Active,2022-03-11T07:30:23.607376,,2022-03-26T01:35:29.053381,5250.00,10541.62,13665.64,5228.00,1991-02-22,0,5121,Group Loan 30th Jan_22,0.7713959975529869
abc0271,Active,2022-04-07T06:25:30.28176,,2022-04-21T06:25:30.28176,2600.00,6511.79,6511.79,2600.00,2001-03-27,1,5121,Group Loan  IPP,1.0
abc0272,Active,2022-03-04T11:27:42.337836,,2022-07-02T10:22:53.044725,12958.00,13558.00,13558.00,2440.00,,1,5121,Individual Loan IPP,1.0
abc0273,Active,2022-02-18T09:55:59.520801,,2022-12-13T10:30:41.80433,3935.00,3231.79,3935.64,1162.00,1954-01-01,1,5121,Group Loan 30th Jan_22,0.8211599638178289
abc0274,Active,2022-02-18T09:13:08.718305,,2022-09-17T03:49:16.860145,16400.00,17347.30,23005.64,2305.00,2022-01-24,1,5121,Group Loan 30th Jan_22,0.7540455297048898
abc0275,Active,2022-03-29T13:28:06.610174,,2022-05-31T13:06:16.153548,5890.00,10938.00,10938.00,1966.00,2022-01-24,0,5121,Individual Loan IPP,1.0
abc0276,Active,2022-02-04T13:47:25.217479,,2022-09-29T14:17:46.577244,18280.00,18350.12,23005.64,2305.00,1969-01-01,1,5121,Group Loan 30th Jan_22,0.7976357101997598
abc0277,Active,2022-02-28T11:21:21.288339,,2022-09-27T13:39:47.117775,10490.00,10442.98,13410.64,4020.00,1964-01-24,1,5121,Group Loan 30th Jan_22,0.7787085478396258
abc0278,Active,2022-03-19T09:08:05.441553,,2022-10-01T03:45:27.642732,10465.00,10471.27,13465.64,5378.00,1974-01-24,0,5121,Group Loan 30th Jan_22,0.7776288390303023
abc0279,Active,2022-02-21T13:46:47.596097,,2022-07-06T14:01:24.867639,7902.00,10859.14,10859.14,3254.00,,1,5121,Group Loan 7th Mar 2022,1.0
abc0280,Active,2022-02-07T13:14:45.420088,,2022-09-12T11:40:39.916092,5000.00,5448.12,6830.64,683.00,1957-01-01,1,5121,Group Loan 30th Jan_22,0.7976002248691192
abc0281,Active,2022-03-26T07:40:47.756741,,2022-10-31T13:47:33.795505,11659.00,10566.16,14115.64,5638.00,1962-01-01,0,5121,Group Loan 30th Jan_22,0.7485427511611235
abc0282,Active,2022-03-07T08:25:06.500952,,2022-04-12T10:35:45.554206,4100.00,12476.34,16955.64,3036.00,1980-02-09,0,5121,Group Loan 30th Jan_22,0.7358224166118177
abc0283,Active,2022-02-03T07:44:13.550051,,2022-10-08T14:55:45.598106,9200.00,8877.64,11130.64,1113.00,1958-10-15,1,5121,Group Loan 30th Jan_22,0.7975857632624899
abc0284,Active,2022-02-16T14:08:35.672947,,2022-04-05T14:34:35.825647,1800.00,3874.45,4805.64,1399.00,1982-12-10,1,5121,Group Loan 30th Jan_22,0.8062297633613837
abc0285,Active,2022-03-08T13:50:46.865294,,2022-05-05T12:42:58.081848,460.00,764.42,950.64,372.00,1981-08-12,1,5121,Group Loan 30th Jan_22,0.804110914752167
abc0286,Active,2022-03-15T13:28:50.859542,,2022-06-17T04:34:45.903093,3625.00,5446.69,7350.64,2208.00,1988-06-16,1,5121,Group Loan 30th Jan_22,0.7409817376446133
abc0287,Active,2022-03-07T05:42:21.886511,,2022-06-11T17:20:45.970121,5533.00,7058.00,7058.00,1271.00,1978-01-25,0,5121,Individual Loan IPP,1.0
abc0288,Active,2022-03-04T10:57:31.816462,,2022-07-22T10:54:00.434159,3057.00,3915.38,5055.64,1512.00,1972-01-01,1,5121,Group Loan 30th Jan_22,0.7744578332317966
abc0289,Completed,2022-01-27T14:09:52.476178,2022-01-27T14:09:52.476178,2022-01-27T14:09:52.476178,0.00,0.00,0.00,0.00,1962-12-12,1,5121,Cash Sales IPP,1.0
abc0290,Active,2022-02-14T11:05:53.293238,,2022-06-20T11:59:30.466039,4000.00,5663.85,7005.64,2097.00,1987-01-01,1,5121,Group Loan 30th Jan_22,0.808470032716497
abc0291,Active,2022-03-09T07:44:01.011039,,2022-05-14T09:38:13.581663,5750.00,10436.88,13465.64,4054.00,1953-01-01,0,5121,Group Loan 30th Jan_22,0.7750749314551704
abc0292,Active,2022-03-08T06:12:31.065992,,2022-07-09T12:40:08.990924,10200.00,10408.00,10408.00,1874.00,1998-06-08,1,5121,Individual Loan IPP,1.0
abc0293,Active,2022-04-07T13:12:55.484136,,2022-06-16T14:22:52.401464,2553.00,4949.88,7528.00,1353.00,1989-03-03,1,5121,Individual Loan IPP,0.6575292242295431
abc0294,Active,2022-03-01T08:32:25.253897,,2022-10-11T17:49:38.563605,8415.00,8052.50,10395.64,3114.00,1978-02-12,1,5121,Group Loan 30th Jan_22,0.7746035838101358
